"Gene","Treatment_Stage","mean","std","n","se","DDCtTwoP",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","Target_Antibiotic"
"Tn5403","C",5773977.72456327,1269057.55361007,3,732690.720193904,4433454.99559874,5773977.72423935,-1340522.72864061,0.333333333333334,437136169624.484,6.8865152910666e-14,-3.76646007540199e-06,"MGE"
"Tn5403","D",21798302.7485569,3751318.0728674,3,2165824.4991859,18106445.2371339,21798302.7485855,-3691857.51145161,0.333333333333332,10270504569.7855,8.69486615713121e-10,-0.00044132188017335,"MGE"
"Tn5403","D",21798302.7485569,3751318.0728674,3,2165824.4991859,25606380.4207204,21798302.7485855,3808077.6721349,0.333333333333334,10270504569.475,9.2509138219156e-10,0.000455214751091075,"MGE"
"Tn5403","D",21798302.7485569,3751318.0728674,3,2165824.4991859,21682082.5878166,21798302.7485855,-116220.160768878,0.333333333333334,10270504574.6358,8.61660099641079e-13,-1.38928709171143e-05,"MGE"
"Tn5403","E",7351514.89397414,3043110.3003686,2,2151803.92928927,9503318.82326342,7351514.89429188,2151803.92897154,0.5,638867612695.814,2.37733070520859e-13,4.77727691996209e-06,"MGE"
"Tn5403","E",7351514.89397414,3043110.3003686,2,2151803.92928927,5199710.96468487,7351514.89429188,-2151803.929607,0.5,638867612695.814,2.37733070542462e-13,-4.77727692017914e-06,"MGE"
"Tn5403","F",26244986.285991,8629902.10462794,3,4982476.30318706,31965226.9259813,26244986.2859773,5720240.64000402,0.333333333333335,141277924846.613,1.18863666873e-11,4.97228747254057e-05,"MGE"
"Tn5403","F",26244986.285991,8629902.10462794,3,4982476.30318706,16318442.1462045,26244986.2859773,-9926544.13977281,0.333333333333333,141277924844.725,3.57945314368204e-11,-8.62859347684121e-05,"MGE"
"Tn5403","F",26244986.285991,8629902.10462794,3,4982476.30318706,30451289.7857871,26244986.2859773,4206303.49980977,0.333333333333333,141277924847.044,6.4271988445935e-12,3.65630600425546e-05,"MGE"
"Tn5403","G",43089180.467203,9255048.11204968,3,5343404.51885482,38277678.5321743,43089180.467133,-4811501.93495876,0.333333333333334,52501783411.6051,5.86314306878228e-11,-0.000112536167646538,"MGE"
